IdFuente,NombreFuente,TipoFuente,LinkFuente
1,Canal N,Mediática,https://canaln.pe/actualidad/fiscalia-anticorrupcion-cita-alfonso-lopez-chau-caso-uni-n490118
2,Infobae - Caso UNI,Mediática,https://www.infobae.com/peru/2025/07/17/alfonso-lopez-chau-en-la-mira-de-la-fiscalia/
3,Infobae - Detención 70s,Mediática,https://www.infobae.com/peru/2026/01/11/alfonso-lopez-chau-responde-a-cuestionamientos-por-su-detencion-en-los-anos-70/
4,Infobae - Caso Tesis,Mediática,https://www.infobae.com/peru/2026/01/12/candidato-presidencial-ronald-atencio-vinculado-a-red-de-venta-ilegal-de-tesis/
5,Infobae - Descargo Atencio,Mediática,https://www.infobae.com/peru/2026/01/13/ronald-atencio-se-desliga-de-centro-juridico-athena/
6,Diario Correo,Mediática,https://diariocorreo.pe/edicion/la-libertad/fiscalia-tiene-en-la-mira-a-la-gestion-de-cesar-acuna/
7,LP Derecho - Publicidad,Jurídica,https://lpderecho.pe/fiscalia-inicia-investigacion-preliminar-contra-cesar-acuna/
8,Expreso - Rolex,Mediática,https://www.expreso.com.pe/judicial/cesar-acuna-bajo-lupa-fiscal-por-lujosas-joyas-y-reloj-rolex/
9,La República - ONPE,Mediática,https://larepublica.pe/politica/2025/12/08/cesar-acuna-justifica-prestamo-de-20-millones-a-app/
10,Radio Exitosa,Mediática,https://www.exitosanoticias.pe/politica/jose-williams-jee-archiva-pedido-exclusion-confirma-tiene-sentencias-n169120
11,MistiPress,Mediática,https://arequipamistipress.com/2021/03/10/por-que-razones-juez-admitio-accion-de-amparo-para-importar-vacunas/
12,LP Derecho,Jurídica,https://lpderecho.pe/interponen-amparo-privados-gobiernos-locales-regionales-puedan-comprar-vacuna-contra-covid/
13,La República,Mediática,https://larepublica.pe/politica/2025/12/21/cuatro-candidatos-cuentan-con-la-mayor-cantidad-de-investigaciones-fiscales/
14,LP Derecho - Investigación 2021,Jurídica,https://lpderecho.pe/fiscalia-investiga-keiko-fujimori-presunta-recaudacion-ilicita-campana-electoral-2021/
15,LP Derecho - Archivo Cócteles,Jurídica,https://lpderecho.pe/juzgado-ordena-el-archivo-definitivo-del-caso-cocteles/
16,Ministerio Público - Gob.pe,Oficial,https://www.gob.pe/institucion/mpfn/noticias/582313-ministerio-publico-logro-impedimento-de-salida-del-pais-por-12-meses/
17,Canal N - Reportaje,Mediática,https://www.youtube.com/watch?v=_ZFBknMqo-Q
18,El Comercio,Mediática,https://elcomercio.pe/politica/elecciones/informe-de-fiscalizacion-concluye-que-roberto-sanchez-habria-infringido-el-principio-de-neutralidad/
19,Infobae,Mediática,https://www.infobae.com/peru/2024/08/12/roberto-sanchez-investigado-por-corrupcion-acusado-de-mochasueldos/
20,Expreso - Judicial,Jurídica,https://www.expreso.com.pe/judicial/corte-suprema-excluye-a-roberto-sanchez-del-juicio-por-golpe-de-estado/
21,Radio Exitosa,Mediática,https://www.exitosanoticias.pe/politica/candidato-presidencia-disculpa-desconocer-precio-pasaje-metropolitano-kilo-azucar-sueldo-minimo-n146156
22,Diario La República,Mediática,https://larepublica.pe/politica/2025/12/01/enrique-valderrama-candidato-del-apra-fue-acusado-en-el-hurto-de-una-laptop-y-un-televisor-en-el-2012/
23,Diario Expreso,Jurídica,https://www.expreso.com.pe/judicial/ricardo-belmont-condenado-por-difamar-a-phillip-butters/
24,Peru21,Mediática,https://peru21.pe/politica/belmont-paso-174-dias-fuera-pais-ultimos-dos-anos-gestion-429883-noticia/
25,Canal N,Jurídica,https://canaln.pe/actualidad/caso-susana-villaran-fiscalia-formalizo-investigacion-preparatoria-marisa-glave-y-jorge-nieto-lavado-activos-n464191
26,RPP Noticias,Mediática,https://rpp.pe/politica/elecciones/elecciones-2021-jee-iniciara-proceso-para-excluir-candidatura-congresal-de-jorge-nieto-noticia-1318085
27,Agencia Andina,Institucional,https://andina.pe/agencia/noticia-concejo-sjl-decidira-sobre-pedido-suspension-contra-alex-gonzales-746555.aspx
28,Peru21,Mediática,https://peru21.pe/lima/jne-admite-solicitud-suspension-alcalde-san-juan-lurigancho-nndc-467677-noticia/
29,Diario Expreso,Mediática,https://www.expreso.com.pe/actualidad/regidores-denuncian-a-alcalde-de-sjl-por-actos-de-corrupcion/551729/
30,Diario Correo,Mediática,https://diariocorreo.pe/espectaculos/indecopi-suspende-a-armando-masse-y-todo-el-47681/
31,Peru21,Mediática,https://peru21.pe/politica/apdayc-indecopi-suspende-ano-armando-masse-directorio-147390-noticia/
32,El Comercio,Jurídica,https://elcomercio.pe/politica/justicia/george-forsyth-fiscalia-inicia-investigacion-preliminar-en-su-contra/
33,Wayka,Jurídica,https://wayka.pe/jee-excluye-a-forsyth-por-omitir-en-su-hoja-de-vida-que-gano-mas-de-s-50-000-en-2019/
34,RPP / AccesoPerú,Jurídica,https://www.accesoperu.com/pj-vuelve-a-rechazar-pedido-de-fernando-olivera-para-archivar-delito-de-colusion-agravada/
35,LP Derecho,Jurídica,https://lpderecho.pe/para-imputar-colusion-desleal-no-basta-la-intervencion-en-actos-administrativos-que-viabilizan-un-contrato-como-el-levantar-observaciones-sino-que-se-requiere-acreditar-la-existenci/
36,Latina Noticias,Mediática,https://latinanoticias.pe/politica/carlos-alvarez-continua-en-elecciones-2026-jee-descarta-exclusion-por-condena-absuelta-vinculada-a-montesinos_20260226/
37,Peru 21,Mediática,"https://peru21.pe/sites/default/efsfiles/2026-01/pl140126_02.pdf#:~:text=Una%20informaci%C3%B3n%20sobre%20carlos.%20%C3%81lvarez%20corri%C3%B3%20con,de%20peculado%20y%20que%20el%20hoy%20candidato"
38,Infobae,Mediática,https://www.infobae.com/peru/2026/01/14/beto-ortiz-cuestiona-a-carlos-alvarez-por-no-declarar-condena-vinculada-a-vladimiro-montesinos-no-existe-una-absolucion/
39,Peru 21,Mediática,https://peru21.pe/politica/elecciones-2026-candidatos-podran-ser-excluidos-si-mienten-en-su-hoja-de-vida/
40,La República,Mediática,https://larepublica.pe/politica/2026/01/27/elecciones-2026-informe-del-jee-advierte-que-candidato-presidencial-del-partido-patriotico-del-peru-habria-declarado-informacion-falsa-hnews-2196207
41,Wayka,Mediática,https://wayka.pe/congresista-lescano-comete-infraccion-electoral-llamar-a-votar-por-candidato-de-su-partido/
42,La República,Mediática,https://larepublica.pe/politica/2025/03/28/vladimir-cerron-logra-segunda-victoria-juridica-tc-anula-su-primera-condena-del-2019-por-caso-la-oroya-hnews-2206148
43,Caretas,Mediática,https://caretas.pe/politica/poder-judicial-ratifica-prision-preventiva-contra-vladimir-cerron-pese-a-su-candidatura-presidencial/
44,Infobae - Incautación,Mediática,https://www.infobae.com/peru/2025/10/22/vladimir-cerron-pierde-mas-de-s16-millones-de-sus-cuentas-por-fallo-del-poder-judicial-dinero-sera-transferido-al-estado/
45,Infobae - Absolución,Mediática,https://www.infobae.com/peru/2025/03/26/vladimir-cerron-corte-suprema-absuelve-al-profugo-lider-de-peru-libre-del-caso-aerodromo-wanka/
46,Panamericana,Mediática,https://panamericana.pe/24horas/locales/462005-elecciones-2026-mario-vizcarra-registra-sentencia-suspendida-corrupcion
47,Andina,Mediática,https://andina.pe/agencia/noticia-elecciones-2026-jne-confirma-candidaturas-mario-vizcarra-y-rafael-lopez-aliaga-1060245.aspx
48,Infobae,Mediática,https://www.infobae.com/peru/2026/01/11/mario-vizcarra-excluido-por-condena-por-peculado-jee-dejo-fuera-al-candidato-de-peru-primero-de-la-lista-al-senado/
49,La República - Repsol,Mediática,https://larepublica.pe/politica/2022/01/28/derrame-de-petroleo-secretario-presidencial-carlos-jaico-se-reunio-con-repsol-fuera-de-palacio-de-gobierno-pedro-castillo
50,Diario Correo - Vehículo,Mediática,https://diariocorreo.pe/politica/pedro-castillo-investigan-a-secretario-general-del-despacho-presidencial-por-uso-indebido-de-un-vehiculo-oficial-del-estado-nndc-noticia/
51,Infobae,Mediática,"https://www.infobae.com/peru/2025/05/28/jose-luna-galvez-sufre-reves-pj-revoca-sentencia-a-su-favor-y-mantiene-intactas-las-investigaciones-en-su-contra/#:~:text=Per%C3%BA-,Jos%C3%A9%20Luna%20G%C3%A1lvez%20pierde:%20PJ%20revoca%20sentencia%20que%20anul%C3%B3,investigaciones%20fiscales%20en%20su%20contra"
52,Infobae,Mediática,"https://www.infobae.com/peru/2025/12/10/jose-luna-galvez-apela-decision-que-rechazo-anular-acusacion-por-caso-podemos-peru-fiscalia-pide-mas-de-22-anos-de-carcel/#:~:text=Per%C3%BA-,Jos%C3%A9%20Luna%20G%C3%A1lvez%20apela%20decisi%C3%B3n%20que%20rechaz%C3%B3%20anular%20acusaci%C3%B3n%20por,de%2022%20a%C3%B1os%20de%20c%C3%A1rcel"
53,Infobae - Firmas,Mediática,https://www.infobae.com/peru/2025/05/15/elecciones-2026-fiscalia-investiga-a-partido-primero-la-gente-por-presunta-fabrica-de-firmas-falsas/
54,Infobae - Inscripción,Mediática,https://www.infobae.com/peru/2026/01/20/marisol-perez-tello-queda-oficialmente-inscrita-como-candidata-presidencial-para-las-elecciones-2026/
55,Infobae - Denuncia Judicial,Mediática,"https://www.infobae.com/peru/2025/12/19/rosario-fernandez-candidata-que-se-nego-a-firmar-pacto-etico-electoral-fue-denunciada-por-agredir-a-la-pnp-y-tirar-huevos-a-sede-judicial/#:~:text=Per%C3%BA-,Rosario%20Fern%C3%A1ndez%2C%20candidata%20que%20se%20neg%C3%B3%20a%20firmar%20Pacto%20%C3%89tico,tirar%20huevos%20a%20sede%20judicial"
56,La República - Neutralidad,Mediática,https://larepublica.pe/politica/2025/12/10/jee-ordena-a-rafael-lopez-aliaga-no-invocar-temas-religiosos-y-da-5-dias-para-retirar-propaganda-electoral-hnews-842720
57,Infobae - Deuda Sunat,Mediática,"https://www.infobae.com/peru/2026/01/04/confirman-que-rafael-lopez-aliaga-mantiene-deuda-coactiva-con-sunat-por-mas-de-s129-millones-empresa-fue-declarada-irregular/#:~:text=Per%C3%BA-,Confirman%20que%20Rafael%20L%C3%B3pez%20Aliaga%20mantiene%20deuda%20coactiva%20con%20Sunat,:%20empresa%20fue%20declarada%20%E2%80%9Cirregular%E2%80%9D"
58,La pderecho,Mediática,https://lpderecho.pe/promueve-el-voto-favor-renovacion-popular-jee-concluye-lopez-aliaga-infringio-neutralidad-electoral-publicacion-facebook/
59,Infobae,Mediática,"https://www.infobae.com/peru/2025/11/05/rafael-lopez-aliaga-si-vulnero-la-neutralidad-electoral-jne-confirma-infraccion-del-exalcalde/#:~:text=Rafael%20L%C3%B3pez%20Aliaga%20s%C3%AD%20vulner%C3%B3,del%20exalcalde%20de%20Lima%20%2D%20Infobae"
